Id;Start time;Completion time;Email;Name;"¿Aceptas participar voluntariamente en esta encuesta?
";¿Ha recibido alguna vez un SMS que le pareció sospechoso?;¿De quién decía ser el mensaje?;¿A qué categoría pertenece la estafa que intentaron hacerle?;Escriba el texto del primer SMS sospechoso que recibió, tal como apareció en su teléfono.;"Escriba el texto de un SMS legítimo que haya recibido recientemente, tal como apareció en su teléfono.
 
Ejemplos de mensajes que puede compartir:
  Notificación de transacción bancaria Promoción de T";¿De qué tipo es el mensaje legítimo?
1;24/03/2026 9:33;24/03/2026 9:35;anonymous;;Si, acepto participar;Si;Banco o entidad financiera; Financiero (préstamos, inversiones, criptomonedas, pólizas, cheques);Se autorizó un cargo por Q8,500 en BAC. Si no fuiste tú llama al [Número falso];¡Felicidades! Has ganado un Smartphone 5G de Tigo. Haz clic aquí para confirmar tus datos y reclamarlo: tigo-premio-seguro.com/xyz;Promoción o aviso de operadora (Tigo, Claro, Movistar)
2;24/03/2026 9:33;24/03/2026 9:57;anonymous;;Si, acepto participar;Si;Empresa de paquetería o envíos; Paquetes y envíos (maletas, importación, entrega de bienes);"Hemos intentado entregar tu paquete dos veces, pero debido a que falta una dirección y un código postal incorrecto, ¡el paquete se encuentra retenido en el centro de tránsito! Puedes visitarlo en 12 horas.

https://correosyteiegrafo.top/i?WBS=uaGBOJILZW?qkY=zkj8OWrxi6

Actualiza tu dirección y solicita un reenvío para evitar pérdidas innecesarias.";Eres un cliente DIAMANTE! Claro Premia tu Fidelidad. Marca al *999# y elige el paquete que mas te guste totalmente GRATIS. Nada mejor que ser CLARO!;Promoción o aviso de operadora (Tigo, Claro, Movistar)
3;24/03/2026 18:25;24/03/2026 18:26;anonymous;;Si, acepto participar;Si;Empresa de paquetería o envíos; Paquetes y envíos (maletas, importación, entrega de bienes);;Confirmación de entrega de pedido;Confirmación de compra o entrega
4;24/03/2026 18:24;24/03/2026 18:29;anonymous;;Si, acepto participar;Si;Empresa de paquetería o envíos; Paquetes y envíos (maletas, importación, entrega de bienes);Hola correo central!! te han enviado un paquete , confirma la entrega en: https://qrco.de/bfZKDw;Confirmar pedido; Código de verificación (2FA)
5;24/03/2026 18:31;24/03/2026 18:36;anonymous;;Si, acepto participar;Si;Empresa de paquetería o envíos; Paquetes y envíos (maletas, importación, entrega de bienes);"Intentamos entregar tu paquete, pero no pudimos porque faltaba el número de la casa. Tu paquete está en espera hasta que obtengamos la dirección completa.

Actualiza tu dirección aquí: https://bit.ly/3CytMbd?Kuj=AdRlB9I0rs?nWs=NAiBZW33fD

¡Gracias!";Bicredit: Te recordamos que tienes un cambio de categoria de tu tarjeta de debito actual confirma tu direccion de entrega aqui https://bi.gt/36hBVNr;Notificación bancaria (movimiento, saldo, alerta)
6;24/03/2026 18:38;24/03/2026 18:38;anonymous;;Si, acepto participar;Si;;;;¡No te pierdas nuestra Pizza 5 Carnes por solo Q60! Pidela ahora por WhatsApp y disfruta sin salir de casa http://bc4.io/ed892df;Publicidad legítima de una empresa conocida
7;24/03/2026 18:41;24/03/2026 18:41;anonymous;;Si, acepto participar;Si;Empresa de paquetería o envíos; Paquetes y envíos (maletas, importación, entrega de bienes);"Guatex: Su paquete ha llegado al almacén pero no puede ser enviado debido a una dirección incompleta. Para facilitar la descarga, actualice los detalles de descarga. Usted es responsable del costo del cambio. Haga clic en el siguiente enlace para realizar cambios: ? https://guatex-gov.icu/N00424/?a=JXfun ? Corrija dentro de las 12 horas para evitar daños innecesarios al servicio postal rumano.  Centro de seguridad de Google:
https://www.google.com/maps/place/37.42215,-122.08533/";Disfruta del sabor de la pizza de 1 ingrediente + 6 piezas de pollo + 3 flanes por Q169. Valido llamando al 1777. Mas informacion aqui http://bc4.io/b0147cf;Publicidad legítima de una empresa conocida
8;24/03/2026 18:41;24/03/2026 18:43;anonymous;;Si, acepto participar;Si;Empresa o empleador;Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres);"¡Hola! Hemos notado que su currículum aparece en muchos sitios de empleo. Estamos contratando en línea y nos gustaría ofrecerle un trabajo que pueda completar en su tiempo libre.
 
El trabajo es sencillo, no hay límite de tiempo y puedes realizarlo en casa usando tu teléfono móvil o tu ordenador.
 
 Los salarios diarios oscilan entre GTQ 55 y 8.000, todos los salarios se pagan el mismo día.
(Nota: Requisito de edad: mayor de 23 años, debe tener una cuenta bancaria para recibir salario).
 
Si está interesado en este puesto, haga clic en el enlace de WhatsApp a continuación para obtener más información sobre el puesto.  http://wa.me/84328634637?eUj=aEf4ALAFy5";Su codigo de verificacion para Claude es: 081577; Código de verificación (2FA)
9;24/03/2026 19:21;24/03/2026 19:22;anonymous;;Si, acepto participar;Si;Empresa de paquetería o envíos; Paquetes y envíos (maletas, importación, entrega de bienes);;Confirmación de pedido;Confirmación de compra o entrega
10;24/03/2026 19:40;24/03/2026 19:44;anonymous;;Si, acepto participar;Si;Empresa de paquetería o envíos; Paquetes y envíos (maletas, importación, entrega de bienes);Tienes un paquete pendiente de entrega ;Sabías que tienes efectivo disponible ;Notificación bancaria (movimiento, saldo, alerta)
